"Items ordered : Aug 28, 2023
Shipped date  :  Aug 30, 2023
Received date : Aug 31, 2023

I've received the items in good condition, they were packed well which came with a box and bubble wrap. All the products they sent to me are correct variation and complete, there were no issues or missing item/s. The quality of the products are superb and I'll definitely be ordering again in the future. The delivery is within time frame. Satisfied customer and I highly recommend others to buy here. Godbless this store and shopee 😇 😇 

Thank you for the extra screws etc and for the seller who keeps on updating me regards to my order 😊

🌻 Love It",5,20675491454
"Appearance:same as advertised
Quality:good

good quality hoping tumagal
easy to assemble, all materials complete no missing parts
all functions are working
got it with lots of discount",5,20675491454
"Suitability:Very Strong
Quality:High Quality
Appearance:Amazing

Wow did not expect to be this good to see it on personal.. seller did not disappoint me kudos!! And fast shipping and delivery to.. thank you seller and shoppe 👍",5,20675491454
"Quality:10/10
Suitability:10/10
Appearance:10/10

You have no idea how happy are we. Thank you so much seller for taking care of our order despite of its weight and size, you manage to ship it in perfect condition. This is undoubtedly cheap but with a great quality. I highly recommend this shop, folks. ❤️❤️❤️ 10/10!!! Hands-down",5,20675491454
"Appearance:pretty awesome!
Suitability:good
Quality:TBA

Ganda ng gaming chair na to, pinakamura sa lahat ng nakita ko dito sa shopee. Reclinable pa, antagal ko naghanap at nag abang ng reclinable na mura since i have back issues. Yung iba mas mahal na, hindi pa narerecline. Galing nito, the best tong seller na to so far. I'm so happy with my purchase. Recommendable tong gaming chair at tong seller na to... thank you seller!",5,20675491454
"Suitability:Very good for me.
Quality:Same as Branded names. same lng halos ng 6k kong gaming chair
Appearance:No issue at all.

I recommend this shop if bibili kyo ng cheap gaming chair. Legit and malinis. Complete parts. bubble wrapped makapal. 4wheels mag ddeliver dahil YTO express gamit at malaki ang box.

May time lapse tutorial na rin ako.

Di ako kasabwat ng seller, just my honest review. Pic and Vid for proof.",5,20675491454
"Quality:9/10
Suitability:9/10
Appearance:9.5/10

SEPTEMBER 24, 2023 5:30pm SUNDAY..
GUYS AKO LANG BA??? 2500 YUNT CHAIR PERO NABILI KO NA LANG SYA NG SALE,. 1.6K TAPOS NAPAKA GANDAAAAAA.. Kaya hnd q perfect score kase hnd naman perfect tlaga lahat.. Pero highly recommend tong Chair na to, gustong gusto q ung na aadjust yung likod nya compare sa iba na naka steady lng sa likod, The Best to guys!!! Worth the money..",5,20675491454
"Worth it! Fast delivery. 
Order date: July 29, 2023
Shipped out: July 31, 2023
Received: August 2, 2023

Got it on my birthday. Gift for myself. Thank you 🙏",5,20675491454
"Quality:good nman
Appearance:looks elegant
Suitability:for 60 to 70 kls

I think pag sobrang bigat mo n,hnd kaya ng chair,.maganda nman,maayos at complete nung dumating..thank you sa mabilis na pag ship ..",4,20675491454
"Suitability:Amazing 🤩
Appearance:Awesome 😘
Quality:Excellent 💫

Received in good condition safe and secured. Complete parts. Easy to assemble. Nice & Comfy both for the 2nd time👍",5,20675491454
"Appearance:Great
Quality:Very Good
Suitability:Very Good

Ang ganda ng chair. Madali lang din e assemble kasi very detailed ng manual. Sobrang nagustohan ng papa ko itong bagong chair nya for WFH set up.
Highly recommended talaga. Very accommodating pa ng seller and nagme message sila sa tracking ng parcel.",5,20675491454
"Appearance:excellent
Quality:excellent
Suitability:excellent

Goods na goods sya may mga spare pa sa bolt nya over all ok na ok sya  no damage mabilis delivery thank you po",5,20675491454
"Appearance:great
Quality:good

Super nice at napakabait ng seller. Nag update talaga. The best thing about it. Gonna order another product next time. Napakabait din ng rider. Super happy for this product.",5,20675491454
"Suitability:appropriate  also for  heavy weight  adult  ha ha ha
Quality:excellent
Appearance:good

We didn't have a hard time to assemble the gaming chair. 
All parts are complete. correct color and or variation received. Appropriate not just for kids .Can also be used by a heavy weight.
Product quality, delivery and seller's response is amazing. Thank you!",5,20675491454
"Suitability:for kids
Appearance:ok
Quality:ok

Okay quality. The item was shipped in a timely manner. The item was packed securely. We will order again if needed. Thank you seller!",5,20675491454
"nice one seller.. all goods ang mga parts wlang damage.. satisfied din ako sa quality ng upuan, lalo na ng mga gulong nya.. heavy duty.. kudos to seller .",5,20675491454
"Suitability:Good
Quality:Good
Appearance:as ordered

unexpectedly awesome siya after ko na assemble sakto din sa gusto ko na color combination,thank you so much seller keep it up",5,20675491454
"Suitability:mgnda siya. malambot
Appearance:mgnda siya at quality ang leather niya
Quality:mgnda muka naman matibay sana lang magtagal ito sakin

Ang ganda nito guys bumili na kayo if wala pa kayo nito",5,20675491454
"Quality:10/10
Appearance:10/10
Suitability:10/10

Thank you seller for fast delivery and good quality of the product. My boyfriend love it very much. I recommended your shop to my friends ☺️💗",5,20675491454
"Suitability:Impressive
Quality:9/10
Appearance:Super Cool

Akala ko mahi2rapan ako pero may manual na map pa message na video how to assemble.. Thanks a lot.. Recommended store po. Received Date. 10/15/2023.",5,20675491454
"Suitability:10/10
Quality:10/10
Appearance:10/10

I was very reluctant at first kc dahil sa mga reviews. Pero I took a chance considering good vs bad reviews. And I was very happy na no problems encountered kasi hassle tlga kpag magrereturn ng items or magrerefund. 
Overall, I super love it. Kahit maliit sya,sakto lng sa akin. Very comfortable ako. Super unexpected din na mabilis ang delivery. Complete parts. No defects. So thank you seller.",5,20675491454
"Suitability:matibay daw sabi nung nakatanggap which I believe is true kase plus size sya and goods sa kanya yung chair. happy ang accla!
Quality:good.
Appearance:good",5,20675491454
"Appearance:very good
Quality:very good
Suitability:very good

Super ganda po nya. highly recommended po and will definitely buy again from this shop. More power and god bless.",5,20675491454
"Quality:great for its price
Appearance:beautiful. Looks exactly like i. The picture
Suitability:Perfect size for a small girl like me

Everything was complete. Including extra 1 piece of everything kaya sure na mabubuo mo talaga. May complete instructions din at nagawa ko sya on my own. So excited to use it! Dream come true talaga.",5,20675491454
"Suitability:okay
Appearance:new
Quality:excellent

Received complete and exact variant of order.
Packed securely with bubble wraps and also placed in a box. Thanks seller!

Vid not related haha",5,20675491454
